Mes,r_Optimista,hipoteca_var_Optimista,r_Base,hipoteca_var_Base,r_Pesimista,hipoteca_var_Pesimista
1,0.1205498658741483,0.1705498658741483,0.12214442787063416,0.17214442787063416,0.12136186820483043,0.17136186820483043
2,0.11709519015156024,0.16709519015156024,0.11167147950388057,0.16167147950388056,0.1353500401358633,0.18535004013586331
3,0.12168225226238379,0.1716822522623838,0.09934449342451454,0.14934449342451456,0.13234512503126555,0.18234512503126554
4,0.1349796496123986,0.1849796496123986,0.10307166832893425,0.15307166832893426,0.13458547204176988,0.1845854720417699
5,0.13013527750496054,0.18013527750496056,0.09955762609892649,0.14955762609892648,0.1396746884466135,0.1896746884466135
6,0.12543236546310016,0.17543236546310015,0.10561785861002237,0.15561785861002236,0.1335887269532529,0.1835887269532529
7,0.13918803632622548,0.1891880363262255,0.10906875545781514,0.15906875545781513,0.13399820320764047,0.1839982032076405
8,0.14434059493062715,0.19434059493062716,0.10690174705790229,0.15690174705790227,0.1322588179020871,0.1822588179020871
9,0.13684559889094988,0.18684559889094987,0.09697808926656977,0.14697808926656977,0.13142981884461102,0.181429818844611
10,0.13979442803290862,0.18979442803290864,0.08197808926656977,0.1319780892665698,0.1218279111760611,0.1718279111760611
11,0.13249322311232986,0.18249322311232985,0.07682563992693245,0.12682563992693247,0.1205639054916193,0.17056390549161932
12,0.12538160979616897,0.17538160979616896,0.08498762839836599,0.13498762839836598,0.12412071524614475,0.17412071524614475
13,0.1256276767063391,0.1756276767063391,0.0864219464841746,0.1364219464841746,0.13720401205518112,0.1872040120551811
14,0.11062767670633909,0.1606276767063391,0.07306482304187303,0.12306482304187304,0.14493601225606087,0.1949360122560609
15,0.0956276767063391,0.14562767670633908,0.07443352165092879,0.12443352165092879,0.15993601225606086,0.20993601225606084
16,0.08861572448260908,0.1386157244826091,0.07790564806203303,0.12790564806203303,0.14955988293033926,0.19955988293033927
17,0.07725616191908057,0.12725616191908057,0.06845323174102746,0.11845323174102747,0.15605299104740214,0.20605299104740216
18,0.07963622921592911,0.1296362292159291,0.06975986069631078,0.11975986069631078,0.15539553187827196,0.20539553187827198
19,0.06959750016955661,0.11959750016955661,0.07006331742978805,0.12006331742978806,0.17039553187827194,0.22039553187827193
20,0.054756512777101085,0.10475651277710109,0.05822165534500807,0.10822165534500808,0.15930058229403776,0.20930058229403775
